Nome
Emmy Rossum
Richard Griffiths
Jet Li
Ziyi Zhang
Rosario Flores
Javier Cámara
Leonor Watling
Branko Djuric
Rene Bitorajac
Filip Sovagovic
Georges Siatidis
Tensai Okamura
Hiroyuki Okiura
Yoshiyuki Takei
Beau Billingslea
Franka Potente
Chris Cooper
Gastón Pauls
Graciela Tenenbaum
María Mercedes Villagra
Patrick Fugit
Kate Hudson
Naomi Watts
Laura Harring
Justin Theroux
Jeanne Bates
Ash Brannon
Burt Reynolds
Luis Guzmán
Yoko Honna
Issey Takahashi
Takashi Tachibana
Shigeru Muroi
Rena Owen
Temuera Morrison
Mamaengaroa Kerr-Bell
Julian Arahanga
Christian Slater
Dennis Hopper
Juliette Binoche
Zbigniew Zamachowski
Benoît Régent
Emi Shinohara
Takeshi Aono
Osamu Saka
Penelope Ann Miller
John Leguizamo
Dianne Wiest
Anthony Michael Hall
Brenda Fricker
Alison Whelan
Kirsten Sheridan
Martin Landau
Bill Bernstein
Claire Bloom
Charles Martin Smith
Barbara Hershey
Jonathan Pryce
Kim Greist
Katherine Helmond
Rob Reiner
Michael McKean
Christopher Guest
Kimberly Stringer
Peter Billingsley
Melinda Dillon
Darren McGavin
Scott Schwartz
John Belushi
Dan Aykroyd
Cab Calloway
John Candy
Mariel Hemingway
Michael Murphy
Ann Reinking
Leland Palmer
David Emge
Ken Foree
Scott H. Reiniger
Gaylen Ross
Alejandro Jodorowsky
Horacio Salinas
Zamira Saunders
Juan Ferrara
Magali Noël
Bruno Zanin
Pupella Maggio
Armando Brancia
Fernando Rey
Delphine Seyrig
Paul Frankeur
Bulle Ogier
Ruy Guerra
Helena Rojo
Del Negro
Bud Cort
Vivian Pickles
Cyril Cusack
Stephen Young
Michael Strong
Ernest Borgnine
Robert Ryan
Duane Jones
Judith O'Dea
Karl Hardman
Marilyn Eastman
Katharine Hepburn
John Castle
Sidney Poitier
Warren Oates
Lee Grant
James Coburn
Frank Sinatra
Laurence Harvey
Angela Lansbury
Jean Simmons
Gabriele Ferzetti
Monica Vitti
Lea Massari
Dominique Blanchar
Eiji Okada
Stella Dassas
Pierre Barbaud
Yul Brynner
Jeffrey Hunter
Ward Bond
James Dean
Julie Harris
Gary Cooper
Lloyd Bridges
Robert Walker
Ruth Roman
Leo G. Carroll
Wallace Ford
William H. Lynn
Victoria Horne
Edmund Gwenn
Maureen O'Hara
John Payne
Gene Lockhart
Louis Calhern
John Ridgely
Martha Vickers
Jane Wyman
Phillip Terry
Howard Da Silva
Ruth Hussey
Rosalind Russell
Ralph Bellamy
William Keighley
Errol Flynn
Olivia de Havilland
Basil Rathbone
Edmund Goulding
Groucho Marx
Chico Marx
Harpo Marx
Ernest B. Schoedsack
Fay Wray
Robert Armstrong
Bruce Cabot
Leila Hyams
Olga Baclanova
Roscoe Ates
Max Schreck
Alexander Granach
Gustav von Wangenheim
Greta Schröder
Charlie Hunnam
Michelle Dockery
Jeremy Strong
Alia Bhatt
Rajit Kapoor
Shishir Sharma
Olivia Cooke
Paul Raci
Lauren Ridloff
Babak Karimi
Mina Sadati
Fionn Whitehead
Barry Keoghan
Mark Rylance
Giuseppe Battiston
Anna Foglietta
Marco Giallini
Edoardo Leo
Taraji P. Henson
Janelle Monáe
Ben Whishaw
Hugh Grant
Hugh Bonneville
Sally Hawkins
Diljit Dosanjh
Art Parkinson
Kiara Advani
Disha Patani
Casey Affleck
Michelle Williams
Kyle Chandler
Lucas Hedges
Roland Møller
Louis Hofmann
Joel Basman
Mikkel Boe Følsgaard
Felicity Jones
Diego Luna
Alan Tudyk
Jennifer Jason Leigh
Walton Goggins
Saoirse Ronan
Florence Pugh
Eliza Scanlen
Hugh Welchman
Douglas Booth
Jerome Flynn
Robert Gulaczyk
Bill Nighy
Imelda Staunton
Dominic West
Paddy Considine
Ali Mosaffa
Pauline Burlet
Toni Servillo
Carlo Verdone
Sabrina Ferilli
Carlo Buccirosso
Lillete Dubey
Annu Kapoor
Dolly Ahluwalia
Chris Williams
Ryan Potter
Scott Adsit
Jamie Chung
Lydia Wilson
Sridevi
Mehdi Nebbou
Priya Anand
Hideaki Anno
Hidetoshi Nishijima
Miori Takimoto
Masahiko Nishimura
Annie Potts
Tony Hale
Jim Sturgess
Sylvia Hoeks
Donald Sutherland
Jared Gilman
Kara Hayward
Craig Ferguson
Steve Carell
Takako Matsu
Yoshino Kimura
Masaki Okada
Lee Byung-Hun
Jeon Gook-Hwan
Ho-jin Chun
Barkhad Abdi
Barkhad Abdirahman
Sae-ron Kim
Tae-hoon Kim
Hee-won Kim
O'Shea Jackson Jr.
Corey Hawkins
Jason Mitchell
Neil Brown Jr.
Hye-ja Kim
Jin Goo
Je-mun Yun
Kim Yoon-seok
Yeong-hie Seo
Yoo-Jeong Kim
Martin Freeman
Richard Armitage
Ken Stott
Christian Friedel
Ernst Jacobi
Leonie Benesch
Michael Nyqvist
Noomi Rapace
Ewa Fröling
Lena Endre
Eddie Redmayne
Alex Sharp
Sacha Baron Cohen
Magnus Millang
Lars Ranthe
Maggie Grace
Famke Janssen
Leland Orser
Asa Butterfield
David Thewlis
Rupert Friend
Zac Mattoon O'Brien
Glen Hansard
Markéta Irglová
Hugh Walsh
Gerard Hendrick
Andy Serkis
Baki Davrak
Nurgül Yesilçay
Tuncel Kurtiz
Nursel Köse
Carey Mulligan
Denzel Washington
Michelle Rodriguez
Sarah Polley
Linh Dan Pham
Gerardo Taracena
Raoul Max Trujillo
Dalia Hernández
Rudy Youngblood
Valerie Faris
Greg Kinnear
Tilda Swinton
Julia Ormond
Kirron Kher
Nicolas Bro
Matthew Macfadyen
Diane Ladd
Iain Rea
Tessa Mitchell
Shôgo Furuya
Tôru Emori
Yoshiaki Umegaki
Aya Okamoto
Nathan Fillion
Gina Torres
Reese Witherspoon
Andreas Wilson
Henrik Lundström
Gustaf Skarsgård
Linda Zilliacus
Rodrigo De la Serna
Mía Maestro
Mercedes Morán
Oksana Akinshina
Artyom Bogucharskiy
Pavel Ponomaryov
Lyubov Agapova
Michèle Caucheteux
Jean-Claude Donda
Michel Robin
Monica Viegas
Lee Yeong-ae
Kim Tae-Woo
Jim Caviezel
Christopher Adamson
JB Blanc
Trevor Jack Brooks
Lorelei Linklater
Wiley Wiggins
Will Patton
Wood Harris
Ryan Hurst
Yun-Fat Chow
Michelle Yeoh
Chen Chang
Cecilia Roth
Marisa Paredes
Candela Peña
Antonia San Juan
Helen Hunt
Paul Sanchez
Lari White
Sean Patrick Flanery
Norman Reedus
David Della Rocco
Diane Venora
Chris Owen
Vicky Jenson
Mike Myers
Eddie Murphy
Cameron Diaz
Billy Zane
Kathy Bates
Takeshi Kitano
Kayoko Kishimoto
Ren Osugi
Susumu Terajima
Jude Law
Gore Vidal
Michael Douglas
Deborah Kara Unger
Emily Watson
Katrin Cartlidge
Jean-Marc Barr
Sarah Jessica Parker
Juliette Lewis
Kevin Jarre
Sam Elliott
Tom Guiry
Mike Vitar
Art LaFleur
Patrick Renna
Emma Thompson
John Haycraft
Christopher Reeve
Lesley Sharp
Greg Cruttwell
Sela Ward
Lillo Brancato
Francis Capra
Boyd Kirkland
Frank Paur
Dan Riba
Eric Radomski
Teresa Mo
Philip Chan
Lisanne Falk
Alan Randolph Scott
Wladyslaw Kowalski
Halina Gryglaszewska
Kalina Jedrusik
Cuba Gooding Jr.
Hudhail Al-Amir
Lloyd Avery II
Frances Sternhagen
Julie Kavner
Ruth Nelson
Kirsten Dunst
Minami Takayama
Rei Sakuma
Kappei Yamaguchi
Danny Lee
Sally Yeh
Kong Chu
Thomas F. Wilson
Brad Dourif
Kevin Peter Hall
Elpidia Carrillo
Bruce Campbell
Sarah Berry
Dan Hicks
Kassie Wesley DePaiva
Alan Ruck
Mia Sara
Jeffrey Jones
Tom Waits
John Lurie
Sean Astin
Jeff Cohen
Danny Glover
Whoopi Goldberg
Oprah Winfrey
Margaret Avery
Emilio Estevez
Judd Nelson
Molly Ringwald
Ally Sheedy
Sam Waterston
Haing S. Ngor
John Malkovich
Julian Sands
Harold Ramis
Sam Shepard
Scott Glenn
Dennis Quaid
Jerry Lewis
Diahnne Abbott
Sandra Bernhard
Henry Thomas
Drew Barrymore
Peter Coyote
Dee Wallace
Jane Alexander
Justin Henry
Brooke Adams
Linda Manz
Sondra Locke
Chief Dan George
Bill McKinney
Saeed Jaffrey
Allen Garfield
Barry Bostwick
Jennifer Drake
Eric Baugin
Jean Topart
Edward Fox
Terence Alexander
Michel Auclair
Alan Badel
Ramon Bieri
Liza Minnelli
Michael York
Helmut Griem
Joel Grey
Jack Albertson
Peter Ostrum
Roy Kinnear
Sylvia Miles
John McGiver
Alan Arkin
Richard Crenna
Efrem Zimbalist Jr.
Katharine Houghton
Warren Beatty
Michael J. Pollard
Rex Harrison
Wilfrid Hyde-White
Dick Van Dyke
David Tomlinson
Glynis Johns
Andrew Marton
Gerd Oswald
Bernhard Wicki
Darryl F. Zanuck
Jeanne Moreau
Oskar Werner
Henri Serre
Vanna Urbino
Deborah Kerr
Peter Wyngarde
Megs Jenkins
Michael Redgrave
Jean-Paul Belmondo
Jean Seberg
Daniel Boulanger
Henri-Jacques Huet
Arthur Rosson
Montgomery Clift
Joanne Dru
Walter Brennan
Dolores Moran
Macdonald Carey
Henry Travers
Claire Trevor
Andy Devine
Margaret Lockwood
Paul Lukas
May Whitty
Charles Ruggles
Walter Catlett
Boris Karloff
Colin Clive
Zeppo Marx
Richard Rosson
Paul Muni
Ann Dvorak
Karen Morley
Mae Clarke
John Boles
Yalitza Aparicio
Marina de Tavira
Diego Cortina Autrey
Carlos Peralta
Josh O'Connor
Alec Secareanu
Gemma Jones
Ian Hart
Kelsey Asbille
Julia Jones
Teo Briones
Daniel Kaluuya
Allison Williams
Bradley Whitford
Henry Cavill
Ving Rhames
Rolf Lassgård
Bahar Pars
Filip Berg
Ida Engvoll
Jemaine Clement
Cori Gonzalez-Macuer
Hiromasa Yonebayashi
Sara Takatsuki
Kasumi Arimura
Nanako Matsushima
Tom Prior
Sophie Perry
Taron Egerton
Shailene Woodley
Ansel Elgort
Nat Wolff
Thomas Mann
RJ Cyler
Nick Offerman
Zach Galifianakis
Andrea Riseborough
Léa Seydoux
Adèle Exarchopoulos
Salim Kechiouche
Aurélien Recoing
Amit Sadh
Amrita Puri
Veerle Baetens
Johan Heldenbergh
Nell Cattrysse
Geert Van Rampelberg
Nargis Fakhri
Shammi Kapoor
Bruce Dern
Will Forte
June Squibb
Bob Odenkirk
John C. Reilly
Jack McBrayer
Jane Lynch
Sarah Silverman
Marion Cotillard
Christina Hendricks
Lucy Liu
Kurt Fuller
Phil Lord
Will Ferrell
Elizabeth Banks
Sandra Bullock
Orto Ignatiussen
Abraham Attah
Emmanuel Affadzi
Ricky Adelayitor
Andrew Adote
Jesse Eisenberg
Justin Timberlake
Jennifer Lawrence
Justin Bartha
Ed Helms
Naomie Harris
Jacki Weaver
Zooey Deschanel
Geoffrey Arend
Tomoko Yamaguchi
Frank Langella
Michael Sheen
Katsunosuke Hori
Tôru Furuya
Angelina Jolie
Colm Feore
Amy Ryan
Gattlin Griffith
Madeline Carroll
Callan McAuliffe
Rebecca De Mornay
Anthony Edwards
Riisa Naka
Takuya Ishida
Mitsutaka Itakura
Ayami Kakiuchi
Tatsuya Fujiwara
Ken'ichi Matsuyama
Asaka Seto
Yû Kashii
Thomas Turgoose
Stephen Graham
Jo Hartley
Andrew Shim
Alicia Vikander
Sonoya Mizuno
Sidse Babett Knudsen
Neeral Mulchandani
Gillian Anderson
Josh Hartnett
Benno Fürmann
Guillaume Canet
Natalie Dessay
Sam Riley
Samantha Morton
Craig Parkinson
Byron Howard
Mandy Moore
Zachary Levi
Donna Murphy
Carice van Houten
Thom Hoffman
Halina Reijn
Randy Quaid
Ben Foster
Karina Arroyave
Stephen Chow
Wah Yuen
Qiu Yuen
Siu-Lung Leung
Brian Cox
Aitana Sánchez-Gijón
John Sharian
Regina King
Clifton Powell
Giovanni Ribisi
Anna Faris
Eric Sykes
Dakota Fanning
Radha Mitchell
Teri Hatcher
John Hodgman
Jennifer Saunders
Billy Connolly
William Atherton
Eileen Walsh
Dorothy Duffy
Nora-Jane Noone
Anne-Marie Duff
Katrin Saß
Chulpan Khamatova
Florian Lukas
Sarah Bolger
Nicolas Cage
Tyler Hoechlin
Rob Maxey
Liam Aiken
Christian Berkel
Oliver Stokowski
Wotan Wilke Möhring
Jamie Bell
Julie Walters
Jean Heywood
Jamie Draven
John Cameron Mitchell
Miriam Shor
Stephen Trask
Theodore Liscinski
Andrew Philpot
John Rafter Lee
Pamela Adlon
Wendee Lee
John Turturro
Tim Blake Nelson
Matthew Edison
Trey Parker
Matt Stone
Mary Kay Bergman
Isaac Hayes
Ron Livingston
David Herman
Ajay Naidu
Jane Adams
Jon Lovitz
Dylan Baker
Seymour Cassel
Eduardo Noriega
Penélope Cruz
Chete Lera
Fele Martínez
John Cusack
Milla Jovovich
Ian Holm
Thierry Lhermitte
Jacques Villeret
Francis Huster
Daniel Prévost
Bruno Kirby
Armin Mueller-Stahl
Justin Braine
Sonia Todd
John Mahoney
Kenneth Branagh
Liesel Matthews
Eleanor Bron
Liam Cunningham
Rusty Schwimmer
Leon Lai
Michelle Reis
Charlie Yeung
Massimo Troisi
Maria Grazia Cucinotta
Brian O'Halloran
Jeff Anderson
Marilyn Ghigliotti
Lisa Spoonauer
Bruce Davison
Roberta Maxwell
Buzz Kilman
Kermit the Frog
Dave Goelz
Miss Piggy
Angela Bassett
Delroy Lindo
Spike Lee
Russell Means
Eric Schweig
Shûichirô Moriyama
Tokiko Katô
Bunshi Katsura Vi
Tsunehiko Kamijô
Alec Baldwin
Demi Moore
Jessica Tandy
Mary Stuart Masterson
Mary-Louise Parker
Judy Davis
Bob Hoskins
Joanna Cassidy
Charles Fleischer
Bernard-Pierre Donnadieu
Gene Bervoets
Johanna ter Steege
Gwen Eckhaus
Richard E. Grant
Paul McGann
Ralph Brown
John Lone
Joan Chen
Ruocheng Ying
Miranda Richardson
Nigel Havers
Helmut Qualtinger
Elya Baskin
Isabella Rossellini
Kyle MacLachlan
Jeff Daniels
Irving Metzman
Griffin Dunne
Rosanna Arquette
Verna Bloom
Tommy Chong
Patrick Horgan
John Buckwalter
Charlotte Rampling
William Shatner
DeForest Kelley
James Doohan
Brian Dennehy
Mary Tyler Moore
Judd Hirsch
Timothy Hutton
David Zucker
Jerry Zucker
Robert Hays
Julie Hagerty
Yasuo Yamada
Eiko Masuyama
Kiyoshi Kobayashi
Makio Inoue
Donald Pleasence
Tony Moran
Nancy Kyes
Roman Polanski
Isabelle Adjani
Jo Van Fleet
Georges Adet
Frank Adu
Hector Elizondo
Cleavon Little
Slim Pickens
Harvey Korman
John Randolph
Jack Kehoe
Biff McGuire
Bruce Lee
John Saxon
Jim Kelly
Ahna Capri
Ronny Cox
Tony Lo Bianco
Andrew Robinson
Harry Guardino
Reni Santoni
Mary Ure
Patrick Wymark
Herb Edelman
Jean Sorel
Michel Piccoli
Geneviève Page
Paul Scofield
Wendy Hiller
Leo McKern
Ian Hendry
John Fraser
Stanley Baker
Ulla Jacobsson
James Booth
Gert Fröbe
Honor Blackman
Shirley Eaton
Rod Taylor
Tippi Hedren
Polly Bergen
Lori Martin
Karlheinz Böhm
Anna Massey
Maxine Audley
Pierre Brasseur
Juliette Mayniel
Alexandre Rignault
Kevin McCarthy
Dana Wynter
Larry Gates
King Donovan
Natalie Wood
Sal Mineo
Jim Backus
Cecil Parker
Herbert Lom
Walter Hampden
Barry Fitzgerald
Michael Rennie
Patricia Neal
Hugh Marlowe
Sam Jaffe
Robert Morley
Peter Bull
Rita Hayworth
Glenn Ford
George Macready
Samuel Armstrong
Ford Beebe Jr.
Norman Ferguson
David Hand
Gloria Stuart
William Harrigan
Bill Pullman
John Cho
Debra Messing
Joseph Lee
Michelle La
Maryana Spivak
Aleksey Rozin
Matvey Novikov
Marina Vasileva
Brooklynn Prince
Bria Vinaite
Christopher Rivera
Michael B. Jordan
Charlie Pye Jr.
Mckenna Grace
Lindsay Duncan
Michael Schwartz
Zack Gottsagen
Ann Owens
Dakota Johnson
Laia Costa
Frederick Lau
Franz Rogowski
Burak Yigit
Günes Sensoy
Doga Zeynep Doguslu
Tugba Sunguroglu
Elit Iscan
Jon Hamm
Eiza González
Alan Alda
Sarah Vowell
Huck Milner
Don Hall
Auli'i Cravalho
Tessa Thompson
Phylicia Rashad
Aleksey Serebryakov
Elena Lyadova
Roman Madyanov
Vladimir Vdovichenkov
Gil Birmingham
Steve Coogan
Sophie Kennedy Clark
Mare Winningham
Keri Russell
Kodi Smit-McPhee
Hugo Silva
Aura Garrido
Ananda George
Ray Sahetapy
Donny Alamsyah
Michael Peña
Anna Kendrick
America Ferrera
Mirai Shida
Lady Gaga
Greg Grunberg
Hailee Steinfeld
Mikael Persbrandt
Trine Dyrholm
Markus Rygaard
Wil Johnson
Chris Renaud
Jason Segel
Russell Brand
Seth Rogen
Aaron Taylor-Johnson
Garrett M. Brown
Luis Tosar
Alberto Ammann
Antonio Resines
Manuel Morón
Antonio Banderas
Elena Anaya
Jan Cornet
Abigail Breslin
Jürgen Vogel
Max Riemelt
Jennifer Ulrich
Mark Strong
Quinton Aaron
Tim McGraw
Jae Head
Richard Jenkins
Haaz Sleiman
Danai Gurira
Hiam Abbass
Rosario Dawson
Michael Ealy
Josef Altin
Charlie Cox
Claire Danes
Sienna Miller
Nora Twomey
Evan McGuire
Mick Lally
Michelle Monaghan
Sylvie Testud
Pascal Greggory
Li Sun
Yong Dong
Yun Qu
Jessica Biel
Rufus Sewell
Gary Stretch
Toby Kebbell
Stuart Wolfenden
Lena Headey
David Wenham
Jonathan Rhys Meyers
Jackie Earle Haley
Patrick Wilson
Carla Gugino
Malin Akerman
Bridget Moynahan
Leigh Whannell
Ken Leung
Brady Corbet
Elisabeth Shue
Chase Ellison
Thibault Verhaeghe
Joséphine Lebas-Joly
Gaspard Ulliel
Dominique Pinon
Peter Dinklage
Patricia Clarkson
Bobby Cannavale
Paul Benjamin
Danny Huston
Shin Ha-kyun
Bae Doona
Ji-Eun Lim
Barry Pepper
J. Mackye Gruber
Ashton Kutcher
Amy Smart
Melora Walters
Cillian Murphy
Christopher Eccleston
Alex Palmer
Aki Maeda
Tarô Yamamoto
Anjelica Huston
Ben Stiller
Daniel Giménez Cacho
Ana López Mercado
Maggie Smith
Alakina Mann
Rachel Griffiths
Joseph Fiennes
Rachel Weisz
Vicellous Shannon
Josh Lucas
Bill Sage
Herbert Knaup
Nina Petri
Kirk Acevedo
Barry Cook
Ming-Na Wen
BD Wong
Tobey Maguire
Michael Lee Gogin
Susanne Lothar
Arno Frisch
Frank Giering
Kiefer Sutherland
William Hurt
Jason Patric
John Roselius
Louis Eppolito
James Fleet
Gary Farmer
Lance Henriksen
Annie Corley
Victor Slezak
Janusz Gajos
Jerzy Stuhr
Rachel Ticotin
Jason London
Rory Cochrane
Ralph Macchio
Mitchell Whitfield
Miki Imai
Toshirô Yanagiba
Mayumi Izuka
Jean-Pierre Jeunet
Marie-Laure Dougnac
Pascal Benezech
Macaulay Culkin
Daniel Stern
John Heard
Andy Garcia
Meg Ryan
Jodi Benson
Samuel E. Wright
Rene Auberjonois
Leslie Nielsen
Priscilla Presley
O.J. Simpson
Ricardo Montalban
Steve Martin
Laila Robins
Gary Busey
Mitchell Ryan
John Getz
Dan Hedaya
Jane Fonda
Doug McKeon
Bruce Spence
Michael Preston
Max Phipps
Michael Beck
James Remar
Dorsey Wright
Brian Tyler
Jim Henson
Frank Oz
Jerry Nelson
Richard Hunt
Roberts Blossom
Jack Thibeau
John Hubley
Richard Briers
Ralph Richardson
Brad Davis
Irene Miracle
Bo Hopkins
Paolo Bonacelli
François Truffaut
Teri Garr
Elliott Gould
Nina van Pallandt
Mark Rydell
Romolo Valli
Maria Monti
Telly Savalas
Carroll O'Connor
Phil Harris
Sebastian Cabot
Louis Prima
Bruce Reitherman
David Hemmings
Vanessa Redgrave
Sarah Miles
John Lennon
Paul McCartney
George Harrison
Ringo Starr
George Peppard
Buddy Ebsen
Rock Hudson
Carroll Baker
Tallulah Bankhead
John Hodiak
Walter Slezak
William Bendix
Robert Donat
Madeleine Carroll
Lucie Mannheim
Godfrey Tearle
