Title,Released_Year,Rating,Certificate
Harry Potter and the Sorcerer's Stone,2001,7.6,L
The Others,2001,7.6,13
Blow,2001,7.6,16
Enemy at the Gates,2001,7.6,18
Minority Report,2002,7.6,18
The Hurricane,1999,7.6,16
American Psycho,2000,7.6,18
Lola rennt,1998,7.6,12
The Thin Red Line,1998,7.6,18
Mulan,1998,7.6,L
Fear and Loathing in Las Vegas,1998,7.6,16
Funny Games,1997,7.6,18
Dark City,1998,7.6,18
Sleepers,1996,7.6,12
Lost Highway,1997,7.6,18
Sense and Sensibility,1995,7.6,L
Die Hard: With a Vengeance,1995,7.6,18
Dead Man,1995,7.6,16
The Bridges of Madison County,1995,7.6,18
Apollo 13,PG,7.6,L
Trois couleurs: Blanc,1994,7.6,L
Falling Down,1993,7.6,16
Dazed and Confused,1993,7.6,L
My Cousin Vinny,1992,7.6,12
Omohide poro poro,1991,7.6,L
Delicatessen,1991,7.6,16
Home Alone,1990,7.6,L
The Godfather: Part III,1990,7.6,18
When Harry Met Sally...,1989,7.6,12
The Little Mermaid,1989,7.6,L
The Naked Gun: From the Files of Police Squad!,1988,7.6,L
"Planes, Trains & Automobiles",1987,7.6,L
Lethal Weapon,1987,7.6,18
Blood Simple,1984,7.6,18
On Golden Pond,1981,7.6,12
Mad Max 2,1981,7.6,18
The Warriors,1979,7.6,12
The Muppet Movie,1979,7.6,L
Escape from Alcatraz,1979,7.6,18
Watership Down,1978,7.6,L
Midnight Express,1978,7.6,18
Close Encounters of the Third Kind,1977,7.6,L
The Long Goodbye,1973,7.6,18
Giù la testa,1971,7.6,10
Kelly's Heroes,1970,7.6,L
The Jungle Book,1967,7.6,L
Blowup,1966,7.6,18
A Hard Day's Night,1964,7.6,L
Breakfast at Tiffany's,1961,7.6,18
Giant,1956,7.6,L
From Here to Eternity,1953,7.6,L
Lifeboat,1944,7.6,Unrated
The 39 Steps,1935,7.6,Unrated
